category,sound,x,y
JetPassing,8,-2.225413346481004,-0.46782103133188574
JetPassing,9,0.05369934809946561,-1.6017523227381572
JetPassing,10,-0.031399883224172406,0.3036348718529518
LaughingAdultFemale,1,1.4290515076742214,0.10235738965415164
LaughingAdultFemale,2,0.7802637596272861,1.1558307965347854
LaughingAdultFemale,3,1.7413985506903378,-2.3992499072397786
LaughingAdultFemale,4,1.3726724418145055,-1.0270663201667956
LaughingAdultFemale,5,-1.306606255995238,-0.5087021348533
LaughingAdultFemale,6,-1.5204107821054391,1.8340391477963143
LaughingAdultFemale,7,1.2021968203496236,1.6099998817112313
LaughingAdultFemale,8,-2.2328245706577654,-0.11859051800055327
LaughingAdultFemale,9,-0.15724180024243822,-1.50945361897807
LaughingAdultFemale,10,-1.3084996711129677,0.8608352835115123
LaughingAdultMale,1,0.6446400183298143,-0.22074819296611792
